cyclone_id,name,season,start,end
2022062N06085,UNNAMED,2022,2022-03-03 00:00:00,2022-03-06 18:00:00
2022079N10093,UNNAMED,2022,2022-03-20 00:00:00,2022-03-23 00:00:00
2022126N07095,ASANI,2022,2022-05-05 12:00:00,2022-05-13 06:00:00
2022140N16097,UNNAMED,2022,2022-05-20 03:00:00,2022-05-20 18:00:00
2022197N22069,UNNAMED,2022,2022-07-16 03:00:00,2022-07-17 18:00:00
2022221N21086,UNNAMED,2022,2022-08-09 03:00:00,2022-08-09 18:00:00
2022224N22067,UNNAMED,2022,2022-08-11 18:00:00,2022-08-14 03:00:00
2022226N22088,UNNAMED,2022,2022-08-14 03:00:00,2022-08-16 06:00:00
2022230N18095,UNNAMED,2022,2022-08-17 12:00:00,2022-08-23 00:00:00
2022254N20085,UNNAMED,2022,2022-09-11 00:00:00,2022-09-12 00:00:00
2022295N13093,SITRANG,2022,2022-10-21 18:00:00,2022-10-25 00:00:00
2022324N10086,UNNAMED,2022,2022-11-20 00:00:00,2022-11-22 00:00:00
2022338N05100,MANDOUS,2022,2022-12-04 00:00:00,2022-12-10 12:00:00
2022347N12074,UNNAMED,2022,2022-12-12 12:00:00,2022-12-19 00:00:00
2022356N09085,UNNAMED,2022,2022-12-22 03:00:00,2022-12-25 06:00:00
2023030N08087,UNNAMED,2023,2023-01-30 03:00:00,2023-02-02 12:00:00
2023129N08091,MOCHA,2023,2023-05-08 18:00:00,2023-05-15 00:00:00
2023156N10067,BIPARJOY,2023,2023-06-05 00:00:00,2023-06-19 00:00:00
2023160N20092,UNNAMED,2023,2023-06-08 12:00:00,2023-06-10 06:00:00
2023212N19090,UNNAMED,2023,2023-07-30 12:00:00,2023-08-03 06:00:00
2023273N16073,UNNAMED,2023,2023-09-30 03:00:00,2023-10-01 00:00:00
2023292N11063,TEJ,2023,2023-10-19 06:00:00,2023-10-24 12:00:00
2023293N12089,HAMOON,2023,2023-10-20 06:00:00,2023-10-25 06:00:00
2023317N10094,MIDHILI,2023,2023-11-13 06:00:00,2023-11-18 00:00:00
2023334N08088,MICHAUNG,2023,2023-11-30 06:00:00,2023-12-06 06:00:00
2024145N14087,REMAL,2024,2024-05-23 12:00:00,2024-05-28 06:00:00
2024201N19086,UNNAMED,2024,2024-07-19 03:00:00,2024-07-20 06:00:00
2024216N24085,UNNAMED,2024,2024-08-02 12:00:00,2024-08-05 18:00:00
2024238N25077,ASNA,2024,2024-08-25 00:00:00,2024-09-03 06:00:00
2024244N18085,UNNAMED,2024,2024-08-31 00:00:00,2024-09-02 06:00:00
2024252N18087,UNNAMED,2024,2024-09-08 00:00:00,2024-09-10 06:00:00
2024255N24080,UNNAMED,2024,2024-09-11 03:00:00,2024-09-13 00:00:00
2024258N22091,UNNAMED,2024,2024-09-13 12:00:00,2024-09-17 18:00:00
2024288N16065,UNNAMED,2024,2024-10-13 12:00:00,2024-10-15 12:00:00
2024290N11084,UNNAMED,2024,2024-10-15 12:00:00,2024-10-16 18:00:00
2024295N15092,DANA,2024,2024-10-21 06:00:00,2024-10-26 00:00:00
2024329N04089,FENGAL,2024,2024-11-23 18:00:00,2024-12-04 12:00:00
2024356N14084,UNNAMED,2024,2024-12-20 12:00:00,2024-12-21 06:00:00
2025144N17073,UNNAMED,2025,2025-05-24 00:00:00,2025-05-24 18:00:00
2025149N21088,UNNAMED,2025,2025-05-29 00:00:00,2025-05-30 06:00:00
2025195N23089,UNNAMED,2025,2025-07-14 06:00:00,2025-07-15 00:00:00
2025196N27075,UNNAMED,2025,2025-07-15 03:00:00,2025-07-15 18:00:00
2025198N25082,UNNAMED,2025,2025-07-17 00:00:00,2025-07-19 18:00:00
2025206N21090,UNNAMED,2025,2025-07-25 00:00:00,2025-07-26 18:00:00
2025231N19085,UNNAMED,2025,2025-08-18 12:00:00,2025-08-19 06:00:00
2025233N15126,KAJIKI,2025,2025-08-21 06:00:00,2025-08-27 00:00:00
2025250N25073,UNNAMED,2025,2025-09-06 18:00:00,2025-09-10 18:00:00
2025266N11137,BUALOI,2025,2025-09-22 18:00:00,2025-09-30 12:00:00
2025270N19086,UNNAMED,2025,2025-09-26 12:00:00,2025-09-28 00:00:00
2025274N16087,UNNAMED,2025,2025-10-01 06:00:00,2025-10-03 06:00:00
2025275N22068,SHAKHTI,2025,2025-10-01 12:00:00,2025-10-07 06:00:00
2025295N09068,UNNAMED,2025,2025-10-22 00:00:00,2025-10-31 18:00:00
2025298N11089,MONTHA,2025,2025-10-25 00:00:00,2025-10-29 18:00:00
2025329N05100,SENYAR,2025,2025-11-25 03:00:00,2025-11-30 06:00:00
2025331N06083,DITWAH,2025,2025-11-26 18:00:00,2025-12-02 18:00:00
