cyclone_id,name,season,start,end,duration_days
2022126N07095,ASANI,2022,2022-05-05 12:00:00,2022-05-13 06:00:00,7.75
2022295N13093,SITRANG,2022,2022-10-21 18:00:00,2022-10-25 00:00:00,3.25
2022338N05100,MANDOUS,2022,2022-12-04 00:00:00,2022-12-10 12:00:00,6.5
2023129N08091,MOCHA,2023,2023-05-08 18:00:00,2023-05-15 00:00:00,6.25
2023156N10067,BIPARJOY,2023,2023-06-05 00:00:00,2023-06-19 00:00:00,14.0
2023292N11063,TEJ,2023,2023-10-19 06:00:00,2023-10-24 12:00:00,5.25
2023293N12089,HAMOON,2023,2023-10-20 06:00:00,2023-10-25 06:00:00,5.0
2023317N10094,MIDHILI,2023,2023-11-13 06:00:00,2023-11-18 00:00:00,4.75
2023334N08088,MICHAUNG,2023,2023-11-30 06:00:00,2023-12-06 06:00:00,6.0
2024145N14087,REMAL,2024,2024-05-23 12:00:00,2024-05-28 06:00:00,4.75
2024238N25077,ASNA,2024,2024-08-25 00:00:00,2024-09-03 06:00:00,9.25
2024295N15092,DANA,2024,2024-10-21 06:00:00,2024-10-26 00:00:00,4.75
2024329N04089,FENGAL,2024,2024-11-23 18:00:00,2024-12-04 12:00:00,10.75
2025233N15126,KAJIKI,2025,2025-08-21 06:00:00,2025-08-27 00:00:00,5.75
2025266N11137,BUALOI,2025,2025-09-22 18:00:00,2025-09-30 12:00:00,7.75
2025275N22068,SHAKHTI,2025,2025-10-01 12:00:00,2025-10-07 06:00:00,5.75
2025298N11089,MONTHA,2025,2025-10-25 00:00:00,2025-10-29 18:00:00,4.75
2025329N05100,SENYAR,2025,2025-11-25 03:00:00,2025-11-30 06:00:00,5.125
2025331N06083,DITWAH,2025,2025-11-26 18:00:00,2025-12-02 18:00:00,6.0
