cyclone_id,name,season,start,end,duration_days
2025295N09068,UNNAMED,2025,2025-10-22 00:00:00,2025-10-31 18:00:00,9.75
2022347N12074,UNNAMED,2022,2022-12-12 12:00:00,2022-12-19 00:00:00,6.5
2022230N18095,UNNAMED,2022,2022-08-17 12:00:00,2022-08-23 00:00:00,5.5
2024258N22091,UNNAMED,2024,2024-09-13 12:00:00,2024-09-17 18:00:00,4.25
2025250N25073,UNNAMED,2025,2025-09-06 18:00:00,2025-09-10 18:00:00,4.0
2023212N19090,UNNAMED,2023,2023-07-30 12:00:00,2023-08-03 06:00:00,3.75
2022062N06085,UNNAMED,2022,2022-03-03 00:00:00,2022-03-06 18:00:00,3.75
2023030N08087,UNNAMED,2023,2023-01-30 03:00:00,2023-02-02 12:00:00,3.375
2024216N24085,UNNAMED,2024,2024-08-02 12:00:00,2024-08-05 18:00:00,3.25
2022356N09085,UNNAMED,2022,2022-12-22 03:00:00,2022-12-25 06:00:00,3.125
2022079N10093,UNNAMED,2022,2022-03-20 00:00:00,2022-03-23 00:00:00,3.0
2025198N25082,UNNAMED,2025,2025-07-17 00:00:00,2025-07-19 18:00:00,2.75
2022224N22067,UNNAMED,2022,2022-08-11 18:00:00,2022-08-14 03:00:00,2.375
2024244N18085,UNNAMED,2024,2024-08-31 00:00:00,2024-09-02 06:00:00,2.25
2024252N18087,UNNAMED,2024,2024-09-08 00:00:00,2024-09-10 06:00:00,2.25
2022226N22088,UNNAMED,2022,2022-08-14 03:00:00,2022-08-16 06:00:00,2.125
2024288N16065,UNNAMED,2024,2024-10-13 12:00:00,2024-10-15 12:00:00,2.0
2025274N16087,UNNAMED,2025,2025-10-01 06:00:00,2025-10-03 06:00:00,2.0
2022324N10086,UNNAMED,2022,2022-11-20 00:00:00,2022-11-22 00:00:00,2.0
2024255N24080,UNNAMED,2024,2024-09-11 03:00:00,2024-09-13 00:00:00,1.875
2023160N20092,UNNAMED,2023,2023-06-08 12:00:00,2023-06-10 06:00:00,1.75
2025206N21090,UNNAMED,2025,2025-07-25 00:00:00,2025-07-26 18:00:00,1.75
2022197N22069,UNNAMED,2022,2022-07-16 03:00:00,2022-07-17 18:00:00,1.625
2025270N19086,UNNAMED,2025,2025-09-26 12:00:00,2025-09-28 00:00:00,1.5
2025149N21088,UNNAMED,2025,2025-05-29 00:00:00,2025-05-30 06:00:00,1.25
2024290N11084,UNNAMED,2024,2024-10-15 12:00:00,2024-10-16 18:00:00,1.25
2024201N19086,UNNAMED,2024,2024-07-19 03:00:00,2024-07-20 06:00:00,1.125
2022254N20085,UNNAMED,2022,2022-09-11 00:00:00,2022-09-12 00:00:00,1.0
2023273N16073,UNNAMED,2023,2023-09-30 03:00:00,2023-10-01 00:00:00,0.875
2025231N19085,UNNAMED,2025,2025-08-18 12:00:00,2025-08-19 06:00:00,0.75
2025195N23089,UNNAMED,2025,2025-07-14 06:00:00,2025-07-15 00:00:00,0.75
2024356N14084,UNNAMED,2024,2024-12-20 12:00:00,2024-12-21 06:00:00,0.75
2025144N17073,UNNAMED,2025,2025-05-24 00:00:00,2025-05-24 18:00:00,0.75
2022140N16097,UNNAMED,2022,2022-05-20 03:00:00,2022-05-20 18:00:00,0.625
2022221N21086,UNNAMED,2022,2022-08-09 03:00:00,2022-08-09 18:00:00,0.625
2025196N27075,UNNAMED,2025,2025-07-15 03:00:00,2025-07-15 18:00:00,0.625
