filename,wind_speed_kt,wind_speed_kmh,category
48(1).jpg,48,88.9,Cyclonic Storm
55.jpeg,55,101.9,Severe Cyclonic Storm
43.jpg,43,79.6,Cyclonic Storm
46.jpg,46,85.2,Cyclonic Storm
86.jpg,86,159.3,Very Severe Cyclonic Storm
59.jpg,59,109.3,Severe Cyclonic Storm
111.jpg,111,205.6,Extremely Severe Cyclonic Storm
49(2).jpg,49,90.7,Severe Cyclonic Storm
45(3).jpg,45,83.3,Cyclonic Storm
34(!).jpg,34,63.0,Cyclonic Storm
60(1).jpg,60,111.1,Severe Cyclonic Storm
40(2).jpg,40,74.1,Cyclonic Storm
77(1).jpg,77,142.6,Very Severe Cyclonic Storm
69(1).jpg,69,127.8,Very Severe Cyclonic Storm
53(2).jpg,53,98.2,Severe Cyclonic Storm
61.jpg,61,113.0,Severe Cyclonic Storm
30(1).jpg,30,55.6,Deep Depression
40(3).jpg,40,74.1,Cyclonic Storm
36(2).jpg,36,66.7,Cyclonic Storm
99.jpg,99,183.3,Extremely Severe Cyclonic Storm
44(3).jpg,44,81.5,Cyclonic Storm
35(3).jpg,35,64.8,Cyclonic Storm
36(1).jpg,36,66.7,Cyclonic Storm
33(2).jpg,33,61.1,Deep Depression
53(1).jpg,53,98.2,Severe Cyclonic Storm
46(3).jpg,46,85.2,Cyclonic Storm
34.jpg,34,63.0,Cyclonic Storm
102.jpg,102,188.9,Extremely Severe Cyclonic Storm
81.jpg,81,150.0,Very Severe Cyclonic Storm
59(1).jpg,59,109.3,Severe Cyclonic Storm
60.jpg,60,111.1,Severe Cyclonic Storm
67(1).jpg,67,124.1,Very Severe Cyclonic Storm
25.jpg,25,46.3,Depression
47.jpg,47,87.0,Cyclonic Storm
61(1).jpg,61,113.0,Severe Cyclonic Storm
40.jpg,40,74.1,Cyclonic Storm
112.jpg,112,207.4,Extremely Severe Cyclonic Storm
85(1).jpg,85,157.4,Very Severe Cyclonic Storm
49(1).jpg,49,90.7,Severe Cyclonic Storm
35(2).jpg,35,64.8,Cyclonic Storm
65.jpg,65,120.4,Very Severe Cyclonic Storm
52.jpg,52,96.3,Severe Cyclonic Storm
38.jpg,38,70.4,Cyclonic Storm
47(2).jpg,47,87.0,Cyclonic Storm
53(3).jpg,53,98.2,Severe Cyclonic Storm
67.jpg,67,124.1,Very Severe Cyclonic Storm
42(3).jpg,42,77.8,Cyclonic Storm
57(1).jpg,57,105.6,Severe Cyclonic Storm
53.jpg,53,98.2,Severe Cyclonic Storm
33(1).jpg,33,61.1,Deep Depression
44.jpg,44,81.5,Cyclonic Storm
54.jpg,54,100.0,Severe Cyclonic Storm
40(1).jpg,40,74.1,Cyclonic Storm
58(1).jpg,58,107.4,Severe Cyclonic Storm
41.jpg,41,75.9,Cyclonic Storm
65(3).jpg,65,120.4,Very Severe Cyclonic Storm
98.jpg,98,181.5,Extremely Severe Cyclonic Storm
65(2).jpg,65,120.4,Very Severe Cyclonic Storm
48(3).jpg,48,88.9,Cyclonic Storm
31.jpg,31,57.4,Deep Depression
55(2).jpg,55,101.9,Severe Cyclonic Storm
70.jpg,70,129.6,Very Severe Cyclonic Storm
45(2).jpg,45,83.3,Cyclonic Storm
47(4).jpg,47,87.0,Cyclonic Storm
44(2).jpg,44,81.5,Cyclonic Storm
44(1).jpg,44,81.5,Cyclonic Storm
82.jpg,82,151.9,Very Severe Cyclonic Storm
32(1).jpg,32,59.3,Deep Depression
46(1).jpg,46,85.2,Cyclonic Storm
87.jpg,87,161.1,Very Severe Cyclonic Storm
115.jpg,115,213.0,Extremely Severe Cyclonic Storm
83(1).jpg,83,153.7,Very Severe Cyclonic Storm
33.jpg,33,61.1,Deep Depression
35.jpg,35,64.8,Cyclonic Storm
119.jpg,119,220.4,Extremely Severe Cyclonic Storm
30.jpg,30,55.6,Deep Depression
36.jpg,36,66.7,Cyclonic Storm
45(1).jpg,45,83.3,Cyclonic Storm
57.jpg,57,105.6,Severe Cyclonic Storm
86(1).jpg,86,159.3,Very Severe Cyclonic Storm
32.jpg,32,59.3,Deep Depression
61(2).jpg,61,113.0,Severe Cyclonic Storm
85.jpg,85,157.4,Very Severe Cyclonic Storm
74(2).jpg,74,137.0,Very Severe Cyclonic Storm
49.jpg,49,90.7,Severe Cyclonic Storm
48.jpg,48,88.9,Cyclonic Storm
68.jpg,68,125.9,Very Severe Cyclonic Storm
47(1).jpg,47,87.0,Cyclonic Storm
63(2).jpg,63,116.7,Severe Cyclonic Storm
51(1).jpg,51,94.5,Severe Cyclonic Storm
118.jpg,118,218.5,Extremely Severe Cyclonic Storm
59(2).jpg,59,109.3,Severe Cyclonic Storm
74(1).jpg,74,137.0,Very Severe Cyclonic Storm
