filename,path_ir,path_vis,wind_speed_kt,wind_speed_kmh,category,imd_code,category_idx
101.jpg,data/processed/classification/multisource_satellite/images_ir/101.jpg,data/processed/classification/multisource_satellite/images_vis/101.jpg,101.0,187.1,Extremely Severe Cyclonic Storm,ESCS,5
102.jpg,data/processed/classification/multisource_satellite/images_ir/102.jpg,data/processed/classification/multisource_satellite/images_vis/102.jpg,102.0,188.9,Extremely Severe Cyclonic Storm,ESCS,5
106.jpg,data/processed/classification/multisource_satellite/images_ir/106.jpg,data/processed/classification/multisource_satellite/images_vis/106.jpg,106.0,196.3,Extremely Severe Cyclonic Storm,ESCS,5
111.jpg,data/processed/classification/multisource_satellite/images_ir/111.jpg,data/processed/classification/multisource_satellite/images_vis/111.jpg,111.0,205.6,Extremely Severe Cyclonic Storm,ESCS,5
112.jpg,data/processed/classification/multisource_satellite/images_ir/112.jpg,data/processed/classification/multisource_satellite/images_vis/112.jpg,112.0,207.4,Extremely Severe Cyclonic Storm,ESCS,5
115.jpg,data/processed/classification/multisource_satellite/images_ir/115.jpg,data/processed/classification/multisource_satellite/images_vis/115.jpg,115.0,213.0,Extremely Severe Cyclonic Storm,ESCS,5
118.jpg,data/processed/classification/multisource_satellite/images_ir/118.jpg,data/processed/classification/multisource_satellite/images_vis/118.jpg,118.0,218.5,Extremely Severe Cyclonic Storm,ESCS,5
119.jpg,data/processed/classification/multisource_satellite/images_ir/119.jpg,data/processed/classification/multisource_satellite/images_vis/119.jpg,119.0,220.4,Extremely Severe Cyclonic Storm,ESCS,5
128.jpg,data/processed/classification/multisource_satellite/images_ir/128.jpg,data/processed/classification/multisource_satellite/images_vis/128.jpg,128.0,237.1,Super Cyclonic Storm,SuCS,6
25.jpg,data/processed/classification/multisource_satellite/images_ir/25.jpg,data/processed/classification/multisource_satellite/images_vis/25.jpg,25.0,46.3,Depression,D,0
27.jpg,data/processed/classification/multisource_satellite/images_ir/27.jpg,data/processed/classification/multisource_satellite/images_vis/27.jpg,27.0,50.0,Deep Depression,DD,1
28.jpg,data/processed/classification/multisource_satellite/images_ir/28.jpg,data/processed/classification/multisource_satellite/images_vis/28.jpg,28.0,51.9,Deep Depression,DD,1
30(1).jpg,data/processed/classification/multisource_satellite/images_ir/30(1).jpg,data/processed/classification/multisource_satellite/images_vis/30(1).jpg,30.0,55.6,Deep Depression,DD,1
30.jpg,data/processed/classification/multisource_satellite/images_ir/30.jpg,data/processed/classification/multisource_satellite/images_vis/30.jpg,30.0,55.6,Deep Depression,DD,1
31.jpg,data/processed/classification/multisource_satellite/images_ir/31.jpg,data/processed/classification/multisource_satellite/images_vis/31.jpg,31.0,57.4,Deep Depression,DD,1
32(1).jpg,data/processed/classification/multisource_satellite/images_ir/32(1).jpg,data/processed/classification/multisource_satellite/images_vis/32(1).jpg,32.0,59.3,Deep Depression,DD,1
32.jpg,data/processed/classification/multisource_satellite/images_ir/32.jpg,data/processed/classification/multisource_satellite/images_vis/32.jpg,32.0,59.3,Deep Depression,DD,1
33(1).jpg,data/processed/classification/multisource_satellite/images_ir/33(1).jpg,data/processed/classification/multisource_satellite/images_vis/33(1).jpg,33.0,61.1,Deep Depression,DD,1
33(2).jpg,data/processed/classification/multisource_satellite/images_ir/33(2).jpg,data/processed/classification/multisource_satellite/images_vis/33(2).jpg,33.0,61.1,Deep Depression,DD,1
33.jpg,data/processed/classification/multisource_satellite/images_ir/33.jpg,data/processed/classification/multisource_satellite/images_vis/33.jpg,33.0,61.1,Deep Depression,DD,1
34.jpg,data/processed/classification/multisource_satellite/images_ir/34.jpg,data/processed/classification/multisource_satellite/images_vis/34.jpg,34.0,63.0,Cyclonic Storm,CS,2
35(1).jpg,data/processed/classification/multisource_satellite/images_ir/35(1).jpg,data/processed/classification/multisource_satellite/images_vis/35(1).jpg,35.0,64.8,Cyclonic Storm,CS,2
35(2).jpg,data/processed/classification/multisource_satellite/images_ir/35(2).jpg,data/processed/classification/multisource_satellite/images_vis/35(2).jpg,35.0,64.8,Cyclonic Storm,CS,2
35(3).jpg,data/processed/classification/multisource_satellite/images_ir/35(3).jpg,data/processed/classification/multisource_satellite/images_vis/35(3).jpg,35.0,64.8,Cyclonic Storm,CS,2
35.jpg,data/processed/classification/multisource_satellite/images_ir/35.jpg,data/processed/classification/multisource_satellite/images_vis/35.jpg,35.0,64.8,Cyclonic Storm,CS,2
