filename,path_ir,path_vis,wind_speed_kt,wind_speed_kmh,category,imd_code,category_idx
47(3).jpg,data/processed/classification/multisource_satellite/images_ir/47(3).jpg,data/processed/classification/multisource_satellite/images_vis/47(3).jpg,47.0,87.0,Cyclonic Storm,CS,2
43.jpg,data/processed/classification/multisource_satellite/images_ir/43.jpg,data/processed/classification/multisource_satellite/images_vis/43.jpg,43.0,79.6,Cyclonic Storm,CS,2
33.jpg,data/processed/classification/multisource_satellite/images_ir/33.jpg,data/processed/classification/multisource_satellite/images_vis/33.jpg,33.0,61.1,Deep Depression,DD,1
39.jpg,data/processed/classification/multisource_satellite/images_ir/39.jpg,data/processed/classification/multisource_satellite/images_vis/39.jpg,39.0,72.2,Cyclonic Storm,CS,2
77.jpg,data/processed/classification/multisource_satellite/images_ir/77.jpg,data/processed/classification/multisource_satellite/images_vis/77.jpg,77.0,142.6,Very Severe Cyclonic Storm,VSCS,4
47(4).jpg,data/processed/classification/multisource_satellite/images_ir/47(4).jpg,data/processed/classification/multisource_satellite/images_vis/47(4).jpg,47.0,87.0,Cyclonic Storm,CS,2
51.jpg,data/processed/classification/multisource_satellite/images_ir/51.jpg,data/processed/classification/multisource_satellite/images_vis/51.jpg,51.0,94.5,Severe Cyclonic Storm,SCS,3
68.jpg,data/processed/classification/multisource_satellite/images_ir/68.jpg,data/processed/classification/multisource_satellite/images_vis/68.jpg,68.0,125.9,Very Severe Cyclonic Storm,VSCS,4
57.jpg,data/processed/classification/multisource_satellite/images_ir/57.jpg,data/processed/classification/multisource_satellite/images_vis/57.jpg,57.0,105.6,Severe Cyclonic Storm,SCS,3
36(2).jpg,data/processed/classification/multisource_satellite/images_ir/36(2).jpg,data/processed/classification/multisource_satellite/images_vis/36(2).jpg,36.0,66.7,Cyclonic Storm,CS,2
63(2).jpg,data/processed/classification/multisource_satellite/images_ir/63(2).jpg,data/processed/classification/multisource_satellite/images_vis/63(2).jpg,63.0,116.7,Severe Cyclonic Storm,SCS,3
36(3).jpg,data/processed/classification/multisource_satellite/images_ir/36(3).jpg,data/processed/classification/multisource_satellite/images_vis/36(3).jpg,36.0,66.7,Cyclonic Storm,CS,2
49.jpg,data/processed/classification/multisource_satellite/images_ir/49.jpg,data/processed/classification/multisource_satellite/images_vis/49.jpg,49.0,90.7,Severe Cyclonic Storm,SCS,3
112.jpg,data/processed/classification/multisource_satellite/images_ir/112.jpg,data/processed/classification/multisource_satellite/images_vis/112.jpg,112.0,207.4,Extremely Severe Cyclonic Storm,ESCS,5
64(1).jpg,data/processed/classification/multisource_satellite/images_ir/64(1).jpg,data/processed/classification/multisource_satellite/images_vis/64(1).jpg,64.0,118.5,Very Severe Cyclonic Storm,VSCS,4
65(2).jpg,data/processed/classification/multisource_satellite/images_ir/65(2).jpg,data/processed/classification/multisource_satellite/images_vis/65(2).jpg,65.0,120.4,Very Severe Cyclonic Storm,VSCS,4
41.jpg,data/processed/classification/multisource_satellite/images_ir/41.jpg,data/processed/classification/multisource_satellite/images_vis/41.jpg,41.0,75.9,Cyclonic Storm,CS,2
57(2).jpg,data/processed/classification/multisource_satellite/images_ir/57(2).jpg,data/processed/classification/multisource_satellite/images_vis/57(2).jpg,57.0,105.6,Severe Cyclonic Storm,SCS,3
62.jpg,data/processed/classification/multisource_satellite/images_ir/62.jpg,data/processed/classification/multisource_satellite/images_vis/62.jpg,62.0,114.8,Severe Cyclonic Storm,SCS,3
59(1).jpg,data/processed/classification/multisource_satellite/images_ir/59(1).jpg,data/processed/classification/multisource_satellite/images_vis/59(1).jpg,59.0,109.3,Severe Cyclonic Storm,SCS,3
33(2).jpg,data/processed/classification/multisource_satellite/images_ir/33(2).jpg,data/processed/classification/multisource_satellite/images_vis/33(2).jpg,33.0,61.1,Deep Depression,DD,1
27.jpg,data/processed/classification/multisource_satellite/images_ir/27.jpg,data/processed/classification/multisource_satellite/images_vis/27.jpg,27.0,50.0,Deep Depression,DD,1
85(2).jpg,data/processed/classification/multisource_satellite/images_ir/85(2).jpg,data/processed/classification/multisource_satellite/images_vis/85(2).jpg,85.0,157.4,Very Severe Cyclonic Storm,VSCS,4
28.jpg,data/processed/classification/multisource_satellite/images_ir/28.jpg,data/processed/classification/multisource_satellite/images_vis/28.jpg,28.0,51.9,Deep Depression,DD,1
87.jpg,data/processed/classification/multisource_satellite/images_ir/87.jpg,data/processed/classification/multisource_satellite/images_vis/87.jpg,87.0,161.1,Very Severe Cyclonic Storm,VSCS,4
45(1).jpg,data/processed/classification/multisource_satellite/images_ir/45(1).jpg,data/processed/classification/multisource_satellite/images_vis/45(1).jpg,45.0,83.3,Cyclonic Storm,CS,2
52(1).jpg,data/processed/classification/multisource_satellite/images_ir/52(1).jpg,data/processed/classification/multisource_satellite/images_vis/52(1).jpg,52.0,96.3,Severe Cyclonic Storm,SCS,3
56.jpg,data/processed/classification/multisource_satellite/images_ir/56.jpg,data/processed/classification/multisource_satellite/images_vis/56.jpg,56.0,103.7,Severe Cyclonic Storm,SCS,3
45(3).jpg,data/processed/classification/multisource_satellite/images_ir/45(3).jpg,data/processed/classification/multisource_satellite/images_vis/45(3).jpg,45.0,83.3,Cyclonic Storm,CS,2
101.jpg,data/processed/classification/multisource_satellite/images_ir/101.jpg,data/processed/classification/multisource_satellite/images_vis/101.jpg,101.0,187.1,Extremely Severe Cyclonic Storm,ESCS,5
30(1).jpg,data/processed/classification/multisource_satellite/images_ir/30(1).jpg,data/processed/classification/multisource_satellite/images_vis/30(1).jpg,30.0,55.6,Deep Depression,DD,1
44(2).jpg,data/processed/classification/multisource_satellite/images_ir/44(2).jpg,data/processed/classification/multisource_satellite/images_vis/44(2).jpg,44.0,81.5,Cyclonic Storm,CS,2
46(3).jpg,data/processed/classification/multisource_satellite/images_ir/46(3).jpg,data/processed/classification/multisource_satellite/images_vis/46(3).jpg,46.0,85.2,Cyclonic Storm,CS,2
35.jpg,data/processed/classification/multisource_satellite/images_ir/35.jpg,data/processed/classification/multisource_satellite/images_vis/35.jpg,35.0,64.8,Cyclonic Storm,CS,2
50.jpg,data/processed/classification/multisource_satellite/images_ir/50.jpg,data/processed/classification/multisource_satellite/images_vis/50.jpg,50.0,92.6,Severe Cyclonic Storm,SCS,3
75.jpg,data/processed/classification/multisource_satellite/images_ir/75.jpg,data/processed/classification/multisource_satellite/images_vis/75.jpg,75.0,138.9,Very Severe Cyclonic Storm,VSCS,4
60.jpg,data/processed/classification/multisource_satellite/images_ir/60.jpg,data/processed/classification/multisource_satellite/images_vis/60.jpg,60.0,111.1,Severe Cyclonic Storm,SCS,3
32(1).jpg,data/processed/classification/multisource_satellite/images_ir/32(1).jpg,data/processed/classification/multisource_satellite/images_vis/32(1).jpg,32.0,59.3,Deep Depression,DD,1
55(2).jpg,data/processed/classification/multisource_satellite/images_ir/55(2).jpg,data/processed/classification/multisource_satellite/images_vis/55(2).jpg,55.0,101.9,Severe Cyclonic Storm,SCS,3
35(2).jpg,data/processed/classification/multisource_satellite/images_ir/35(2).jpg,data/processed/classification/multisource_satellite/images_vis/35(2).jpg,35.0,64.8,Cyclonic Storm,CS,2
44.jpg,data/processed/classification/multisource_satellite/images_ir/44.jpg,data/processed/classification/multisource_satellite/images_vis/44.jpg,44.0,81.5,Cyclonic Storm,CS,2
50(1).jpg,data/processed/classification/multisource_satellite/images_ir/50(1).jpg,data/processed/classification/multisource_satellite/images_vis/50(1).jpg,50.0,92.6,Severe Cyclonic Storm,SCS,3
63.jpg,data/processed/classification/multisource_satellite/images_ir/63.jpg,data/processed/classification/multisource_satellite/images_vis/63.jpg,63.0,116.7,Severe Cyclonic Storm,SCS,3
38.jpg,data/processed/classification/multisource_satellite/images_ir/38.jpg,data/processed/classification/multisource_satellite/images_vis/38.jpg,38.0,70.4,Cyclonic Storm,CS,2
49(1).jpg,data/processed/classification/multisource_satellite/images_ir/49(1).jpg,data/processed/classification/multisource_satellite/images_vis/49(1).jpg,49.0,90.7,Severe Cyclonic Storm,SCS,3
86(2).jpg,data/processed/classification/multisource_satellite/images_ir/86(2).jpg,data/processed/classification/multisource_satellite/images_vis/86(2).jpg,86.0,159.3,Very Severe Cyclonic Storm,VSCS,4
25.jpg,data/processed/classification/multisource_satellite/images_ir/25.jpg,data/processed/classification/multisource_satellite/images_vis/25.jpg,25.0,46.3,Depression,D,0
40(2).jpg,data/processed/classification/multisource_satellite/images_ir/40(2).jpg,data/processed/classification/multisource_satellite/images_vis/40(2).jpg,40.0,74.1,Cyclonic Storm,CS,2
50(2).jpg,data/processed/classification/multisource_satellite/images_ir/50(2).jpg,data/processed/classification/multisource_satellite/images_vis/50(2).jpg,50.0,92.6,Severe Cyclonic Storm,SCS,3
36(1).jpg,data/processed/classification/multisource_satellite/images_ir/36(1).jpg,data/processed/classification/multisource_satellite/images_vis/36(1).jpg,36.0,66.7,Cyclonic Storm,CS,2
82.jpg,data/processed/classification/multisource_satellite/images_ir/82.jpg,data/processed/classification/multisource_satellite/images_vis/82.jpg,82.0,151.9,Very Severe Cyclonic Storm,VSCS,4
36.jpg,data/processed/classification/multisource_satellite/images_ir/36.jpg,data/processed/classification/multisource_satellite/images_vis/36.jpg,36.0,66.7,Cyclonic Storm,CS,2
64(2).jpg,data/processed/classification/multisource_satellite/images_ir/64(2).jpg,data/processed/classification/multisource_satellite/images_vis/64(2).jpg,64.0,118.5,Very Severe Cyclonic Storm,VSCS,4
98.jpg,data/processed/classification/multisource_satellite/images_ir/98.jpg,data/processed/classification/multisource_satellite/images_vis/98.jpg,98.0,181.5,Extremely Severe Cyclonic Storm,ESCS,5
47(1).jpg,data/processed/classification/multisource_satellite/images_ir/47(1).jpg,data/processed/classification/multisource_satellite/images_vis/47(1).jpg,47.0,87.0,Cyclonic Storm,CS,2
115.jpg,data/processed/classification/multisource_satellite/images_ir/115.jpg,data/processed/classification/multisource_satellite/images_vis/115.jpg,115.0,213.0,Extremely Severe Cyclonic Storm,ESCS,5
51(1).jpg,data/processed/classification/multisource_satellite/images_ir/51(1).jpg,data/processed/classification/multisource_satellite/images_vis/51(1).jpg,51.0,94.5,Severe Cyclonic Storm,SCS,3
53(2).jpg,data/processed/classification/multisource_satellite/images_ir/53(2).jpg,data/processed/classification/multisource_satellite/images_vis/53(2).jpg,53.0,98.2,Severe Cyclonic Storm,SCS,3
43(2).jpg,data/processed/classification/multisource_satellite/images_ir/43(2).jpg,data/processed/classification/multisource_satellite/images_vis/43(2).jpg,43.0,79.6,Cyclonic Storm,CS,2
45.jpg,data/processed/classification/multisource_satellite/images_ir/45.jpg,data/processed/classification/multisource_satellite/images_vis/45.jpg,45.0,83.3,Cyclonic Storm,CS,2
40.jpg,data/processed/classification/multisource_satellite/images_ir/40.jpg,data/processed/classification/multisource_satellite/images_vis/40.jpg,40.0,74.1,Cyclonic Storm,CS,2
32.jpg,data/processed/classification/multisource_satellite/images_ir/32.jpg,data/processed/classification/multisource_satellite/images_vis/32.jpg,32.0,59.3,Deep Depression,DD,1
86.jpg,data/processed/classification/multisource_satellite/images_ir/86.jpg,data/processed/classification/multisource_satellite/images_vis/86.jpg,86.0,159.3,Very Severe Cyclonic Storm,VSCS,4
40(3).jpg,data/processed/classification/multisource_satellite/images_ir/40(3).jpg,data/processed/classification/multisource_satellite/images_vis/40(3).jpg,40.0,74.1,Cyclonic Storm,CS,2
59(2).jpg,data/processed/classification/multisource_satellite/images_ir/59(2).jpg,data/processed/classification/multisource_satellite/images_vis/59(2).jpg,59.0,109.3,Severe Cyclonic Storm,SCS,3
119.jpg,data/processed/classification/multisource_satellite/images_ir/119.jpg,data/processed/classification/multisource_satellite/images_vis/119.jpg,119.0,220.4,Extremely Severe Cyclonic Storm,ESCS,5
44(3).jpg,data/processed/classification/multisource_satellite/images_ir/44(3).jpg,data/processed/classification/multisource_satellite/images_vis/44(3).jpg,44.0,81.5,Cyclonic Storm,CS,2
54.jpg,data/processed/classification/multisource_satellite/images_ir/54.jpg,data/processed/classification/multisource_satellite/images_vis/54.jpg,54.0,100.0,Severe Cyclonic Storm,SCS,3
67.jpg,data/processed/classification/multisource_satellite/images_ir/67.jpg,data/processed/classification/multisource_satellite/images_vis/67.jpg,67.0,124.1,Very Severe Cyclonic Storm,VSCS,4
74(1).jpg,data/processed/classification/multisource_satellite/images_ir/74(1).jpg,data/processed/classification/multisource_satellite/images_vis/74(1).jpg,74.0,137.0,Very Severe Cyclonic Storm,VSCS,4
128.jpg,data/processed/classification/multisource_satellite/images_ir/128.jpg,data/processed/classification/multisource_satellite/images_vis/128.jpg,128.0,237.1,Super Cyclonic Storm,SuCS,6
30.jpg,data/processed/classification/multisource_satellite/images_ir/30.jpg,data/processed/classification/multisource_satellite/images_vis/30.jpg,30.0,55.6,Deep Depression,DD,1
63(1).jpg,data/processed/classification/multisource_satellite/images_ir/63(1).jpg,data/processed/classification/multisource_satellite/images_vis/63(1).jpg,63.0,116.7,Severe Cyclonic Storm,SCS,3
111.jpg,data/processed/classification/multisource_satellite/images_ir/111.jpg,data/processed/classification/multisource_satellite/images_vis/111.jpg,111.0,205.6,Extremely Severe Cyclonic Storm,ESCS,5
33(1).jpg,data/processed/classification/multisource_satellite/images_ir/33(1).jpg,data/processed/classification/multisource_satellite/images_vis/33(1).jpg,33.0,61.1,Deep Depression,DD,1
42.jpg,data/processed/classification/multisource_satellite/images_ir/42.jpg,data/processed/classification/multisource_satellite/images_vis/42.jpg,42.0,77.8,Cyclonic Storm,CS,2
53(1).jpg,data/processed/classification/multisource_satellite/images_ir/53(1).jpg,data/processed/classification/multisource_satellite/images_vis/53(1).jpg,53.0,98.2,Severe Cyclonic Storm,SCS,3
65(3).jpg,data/processed/classification/multisource_satellite/images_ir/65(3).jpg,data/processed/classification/multisource_satellite/images_vis/65(3).jpg,65.0,120.4,Very Severe Cyclonic Storm,VSCS,4
118.jpg,data/processed/classification/multisource_satellite/images_ir/118.jpg,data/processed/classification/multisource_satellite/images_vis/118.jpg,118.0,218.5,Extremely Severe Cyclonic Storm,ESCS,5
58.jpg,data/processed/classification/multisource_satellite/images_ir/58.jpg,data/processed/classification/multisource_satellite/images_vis/58.jpg,58.0,107.4,Severe Cyclonic Storm,SCS,3
74.jpg,data/processed/classification/multisource_satellite/images_ir/74.jpg,data/processed/classification/multisource_satellite/images_vis/74.jpg,74.0,137.0,Very Severe Cyclonic Storm,VSCS,4
77(1).jpg,data/processed/classification/multisource_satellite/images_ir/77(1).jpg,data/processed/classification/multisource_satellite/images_vis/77(1).jpg,77.0,142.6,Very Severe Cyclonic Storm,VSCS,4
47(2).jpg,data/processed/classification/multisource_satellite/images_ir/47(2).jpg,data/processed/classification/multisource_satellite/images_vis/47(2).jpg,47.0,87.0,Cyclonic Storm,CS,2
46(1).jpg,data/processed/classification/multisource_satellite/images_ir/46(1).jpg,data/processed/classification/multisource_satellite/images_vis/46(1).jpg,46.0,85.2,Cyclonic Storm,CS,2
84.jpg,data/processed/classification/multisource_satellite/images_ir/84.jpg,data/processed/classification/multisource_satellite/images_vis/84.jpg,84.0,155.6,Very Severe Cyclonic Storm,VSCS,4
45(2).jpg,data/processed/classification/multisource_satellite/images_ir/45(2).jpg,data/processed/classification/multisource_satellite/images_vis/45(2).jpg,45.0,83.3,Cyclonic Storm,CS,2
70.jpg,data/processed/classification/multisource_satellite/images_ir/70.jpg,data/processed/classification/multisource_satellite/images_vis/70.jpg,70.0,129.6,Very Severe Cyclonic Storm,VSCS,4
48.jpg,data/processed/classification/multisource_satellite/images_ir/48.jpg,data/processed/classification/multisource_satellite/images_vis/48.jpg,48.0,88.9,Cyclonic Storm,CS,2
94.jpg,data/processed/classification/multisource_satellite/images_ir/94.jpg,data/processed/classification/multisource_satellite/images_vis/94.jpg,94.0,174.1,Extremely Severe Cyclonic Storm,ESCS,5
57(1).jpg,data/processed/classification/multisource_satellite/images_ir/57(1).jpg,data/processed/classification/multisource_satellite/images_vis/57(1).jpg,57.0,105.6,Severe Cyclonic Storm,SCS,3
85.jpg,data/processed/classification/multisource_satellite/images_ir/85.jpg,data/processed/classification/multisource_satellite/images_vis/85.jpg,85.0,157.4,Very Severe Cyclonic Storm,VSCS,4
