filename,wind_speed_kt,wind_speed_kmh,category,cyclone_detected,image_path,mock_bbox,structural_pattern
48(1).jpg,48,88.9,Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/48(1).jpg,"[420, 190, 600, 370]",curved_band
55.jpeg,55,101.9,Severe Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/55.jpeg,"[420, 190, 600, 370]",eye_visible
43.jpg,43,79.6,Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/43.jpg,"[420, 190, 600, 370]",curved_band
46.jpg,46,85.2,Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/46.jpg,"[420, 190, 600, 370]",curved_band
86.jpg,86,159.3,Very Severe Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/86.jpg,"[420, 190, 600, 370]",eye_visible
59.jpg,59,109.3,Severe Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/59.jpg,"[420, 190, 600, 370]",eye_visible
111.jpg,111,205.6,Extremely Severe Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/111.jpg,"[420, 190, 600, 370]",eye_visible
49(2).jpg,49,90.7,Severe Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/49(2).jpg,"[420, 190, 600, 370]",eye_visible
45(3).jpg,45,83.3,Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/45(3).jpg,"[420, 190, 600, 370]",curved_band
34(!).jpg,34,63.0,Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/34(!).jpg,"[420, 190, 600, 370]",curved_band
60(1).jpg,60,111.1,Severe Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/60(1).jpg,"[420, 190, 600, 370]",eye_visible
40(2).jpg,40,74.1,Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/40(2).jpg,"[420, 190, 600, 370]",curved_band
77(1).jpg,77,142.6,Very Severe Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/77(1).jpg,"[420, 190, 600, 370]",eye_visible
69(1).jpg,69,127.8,Very Severe Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/69(1).jpg,"[420, 190, 600, 370]",eye_visible
53(2).jpg,53,98.2,Severe Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/53(2).jpg,"[420, 190, 600, 370]",eye_visible
61.jpg,61,113.0,Severe Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/61.jpg,"[420, 190, 600, 370]",eye_visible
30(1).jpg,30,55.6,Deep Depression,True,data/processed/classification/image_only_kaggle/images/30(1).jpg,"[420, 190, 600, 370]",shear_pattern
40(3).jpg,40,74.1,Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/40(3).jpg,"[420, 190, 600, 370]",curved_band
36(2).jpg,36,66.7,Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/36(2).jpg,"[420, 190, 600, 370]",curved_band
99.jpg,99,183.3,Extremely Severe Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/99.jpg,"[420, 190, 600, 370]",eye_visible
44(3).jpg,44,81.5,Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/44(3).jpg,"[420, 190, 600, 370]",curved_band
35(3).jpg,35,64.8,Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/35(3).jpg,"[420, 190, 600, 370]",curved_band
36(1).jpg,36,66.7,Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/36(1).jpg,"[420, 190, 600, 370]",curved_band
33(2).jpg,33,61.1,Deep Depression,True,data/processed/classification/image_only_kaggle/images/33(2).jpg,"[420, 190, 600, 370]",shear_pattern
53(1).jpg,53,98.2,Severe Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/53(1).jpg,"[420, 190, 600, 370]",eye_visible
