cyclone_id,name,timestamp_t0,lat_t0,lon_t0,wind_t0
2020136N10088,AMPHAN,2020-05-15 18:00:00,9.5,86.6,
2020136N10088,AMPHAN,2020-05-15 21:00:00,9.6,86.5,
2020136N10088,AMPHAN,2020-05-16 00:00:00,9.8,86.4,46.3
2020136N10088,AMPHAN,2020-05-16 03:00:00,10.1,86.2,46.3
2020136N10088,AMPHAN,2020-05-16 06:00:00,10.3,86.1,46.3
2020136N10088,AMPHAN,2020-05-16 09:00:00,10.5,86.1,55.6
2020136N10088,AMPHAN,2020-05-16 12:00:00,10.6,86.2,64.8
2020136N10088,AMPHAN,2020-05-16 15:00:00,10.8,86.1,74.1
2020136N10088,AMPHAN,2020-05-16 18:00:00,10.9,86.1,74.1
2020136N10088,AMPHAN,2020-05-16 21:00:00,11.1,86.1,83.3
2020136N10088,AMPHAN,2020-05-17 00:00:00,11.2,86.1,83.3
2020136N10088,AMPHAN,2020-05-17 03:00:00,11.3,86.1,92.6
2020136N10088,AMPHAN,2020-05-17 06:00:00,11.5,86.2,101.9
2020136N10088,AMPHAN,2020-05-17 09:00:00,11.6,86.2,120.4
2020136N10088,AMPHAN,2020-05-17 12:00:00,11.9,86.2,129.6
2020136N10088,AMPHAN,2020-05-17 15:00:00,12.5,86.4,138.9
2020136N10088,AMPHAN,2020-05-17 18:00:00,12.5,86.4,148.2
2020136N10088,AMPHAN,2020-05-17 21:00:00,12.9,86.5,166.7
2020136N10088,AMPHAN,2020-05-18 00:00:00,13.2,86.4,185.2
2020136N10088,AMPHAN,2020-05-18 03:00:00,13.3,86.2,213.0
2020136N10088,AMPHAN,2020-05-18 06:00:00,13.4,86.2,222.2
2020136N10088,AMPHAN,2020-05-18 09:00:00,13.7,86.2,222.2
2020136N10088,AMPHAN,2020-05-18 12:00:00,14.1,86.4,231.5
2020136N10088,AMPHAN,2020-05-18 15:00:00,14.5,86.5,231.5
2020136N10088,AMPHAN,2020-05-18 18:00:00,14.9,86.6,240.8
2020136N10088,AMPHAN,2020-05-18 21:00:00,15.2,86.7,240.8
2020136N10088,AMPHAN,2020-05-19 00:00:00,15.6,86.8,231.5
2020136N10088,AMPHAN,2020-05-19 03:00:00,16.0,86.9,222.2
2020136N10088,AMPHAN,2020-05-19 06:00:00,16.5,87.0,213.0
2020136N10088,AMPHAN,2020-05-19 09:00:00,16.9,87.0,203.7
2020136N10088,AMPHAN,2020-05-19 12:00:00,17.3,87.1,194.5
2020136N10088,AMPHAN,2020-05-19 15:00:00,17.9,87.1,185.2
2020136N10088,AMPHAN,2020-05-19 18:00:00,18.3,87.2,185.2
2020136N10088,AMPHAN,2020-05-19 21:00:00,18.7,87.3,185.2
