cyclone_id,t_zero,t_minus_24h,t_plus_24h,origin_lat,origin_lon,origin_wind,target_6h_lat,target_6h_lon,target_6h_wind,target_12h_lat,target_12h_lon,target_12h_wind,target_24h_lat,target_24h_lon,target_24h_wind
2013130N04093,2013-05-10 18:00:00,2013-05-09 18:00:00,2013-05-11 18:00:00,6.1,91.7,55.6,6.8,91.0,55.6,7.8,90.2,64.8,9.1,88.7,74.1
2013130N04093,2013-05-10 21:00:00,2013-05-09 21:00:00,2013-05-11 21:00:00,6.4,91.3,55.6,7.3,90.4,64.8,7.9,89.7,64.8,9.4,88.3,74.1
2013130N04093,2013-05-11 00:00:00,2013-05-10 00:00:00,2013-05-12 00:00:00,6.8,91.0,55.6,7.8,90.2,64.8,8.3,89.2,74.1,9.8,87.9,74.1
2013130N04093,2013-05-11 03:00:00,2013-05-10 03:00:00,2013-05-12 03:00:00,7.3,90.4,64.8,7.9,89.7,64.8,8.7,88.8,74.1,9.8,87.5,74.1
2013130N04093,2013-05-11 06:00:00,2013-05-10 06:00:00,2013-05-12 06:00:00,7.8,90.2,64.8,8.3,89.2,74.1,9.1,88.7,74.1,10.0,87.5,74.1
2013130N04093,2013-05-11 09:00:00,2013-05-10 09:00:00,2013-05-12 09:00:00,7.9,89.7,64.8,8.7,88.8,74.1,9.4,88.3,74.1,10.3,87.1,74.1
2013130N04093,2013-05-11 12:00:00,2013-05-10 12:00:00,2013-05-12 12:00:00,8.3,89.2,74.1,9.1,88.7,74.1,9.8,87.9,74.1,10.4,87.0,74.1
2013130N04093,2013-05-11 15:00:00,2013-05-10 15:00:00,2013-05-12 15:00:00,8.7,88.8,74.1,9.4,88.3,74.1,9.8,87.5,74.1,10.5,86.7,74.1
2013130N04093,2013-05-11 18:00:00,2013-05-10 18:00:00,2013-05-12 18:00:00,9.1,88.7,74.1,9.8,87.9,74.1,10.0,87.5,74.1,10.9,86.6,74.1
2013130N04093,2013-05-11 21:00:00,2013-05-10 21:00:00,2013-05-12 21:00:00,9.4,88.3,74.1,9.8,87.5,74.1,10.3,87.1,74.1,11.0,86.5,74.1
2013130N04093,2013-05-12 00:00:00,2013-05-11 00:00:00,2013-05-13 00:00:00,9.8,87.9,74.1,10.0,87.5,74.1,10.4,87.0,74.1,11.5,86.5,74.1
2013130N04093,2013-05-12 03:00:00,2013-05-11 03:00:00,2013-05-13 03:00:00,9.8,87.5,74.1,10.3,87.1,74.1,10.5,86.7,74.1,11.8,86.4,74.1
2013130N04093,2013-05-12 06:00:00,2013-05-11 06:00:00,2013-05-13 06:00:00,10.0,87.5,74.1,10.4,87.0,74.1,10.9,86.6,74.1,12.0,86.4,74.1
2013130N04093,2013-05-12 09:00:00,2013-05-11 09:00:00,2013-05-13 09:00:00,10.3,87.1,74.1,10.5,86.7,74.1,11.0,86.5,74.1,12.0,85.9,74.1
2013130N04093,2013-05-12 12:00:00,2013-05-11 12:00:00,2013-05-13 12:00:00,10.4,87.0,74.1,10.9,86.6,74.1,11.5,86.5,74.1,12.2,85.8,74.1
2013130N04093,2013-05-12 15:00:00,2013-05-11 15:00:00,2013-05-13 15:00:00,10.5,86.7,74.1,11.0,86.5,74.1,11.8,86.4,74.1,12.6,85.7,74.1
2013130N04093,2013-05-12 18:00:00,2013-05-11 18:00:00,2013-05-13 18:00:00,10.9,86.6,74.1,11.5,86.5,74.1,12.0,86.4,74.1,12.8,85.5,74.1
2013130N04093,2013-05-12 21:00:00,2013-05-11 21:00:00,2013-05-13 21:00:00,11.0,86.5,74.1,11.8,86.4,74.1,12.0,85.9,74.1,13.2,85.4,74.1
2013130N04093,2013-05-13 00:00:00,2013-05-12 00:00:00,2013-05-14 00:00:00,11.5,86.5,74.1,12.0,86.4,74.1,12.2,85.8,74.1,13.6,85.5,74.1
2013130N04093,2013-05-13 03:00:00,2013-05-12 03:00:00,2013-05-14 03:00:00,11.8,86.4,74.1,12.0,85.9,74.1,12.6,85.7,74.1,13.7,85.5,74.1
2013130N04093,2013-05-13 06:00:00,2013-05-12 06:00:00,2013-05-14 06:00:00,12.0,86.4,74.1,12.2,85.8,74.1,12.8,85.5,74.1,14.1,85.7,74.1
2013130N04093,2013-05-13 09:00:00,2013-05-12 09:00:00,2013-05-14 09:00:00,12.0,85.9,74.1,12.6,85.7,74.1,13.2,85.4,74.1,14.2,85.7,74.1
2013130N04093,2013-05-13 12:00:00,2013-05-12 12:00:00,2013-05-14 12:00:00,12.2,85.8,74.1,12.8,85.5,74.1,13.6,85.5,74.1,14.6,86.1,74.1
2013130N04093,2013-05-13 15:00:00,2013-05-12 15:00:00,2013-05-14 15:00:00,12.6,85.7,74.1,13.2,85.4,74.1,13.7,85.5,74.1,14.8,86.2,74.1
2013130N04093,2013-05-13 18:00:00,2013-05-12 18:00:00,2013-05-14 18:00:00,12.8,85.5,74.1,13.6,85.5,74.1,14.1,85.7,74.1,15.3,86.6,74.1
2013130N04093,2013-05-13 21:00:00,2013-05-12 21:00:00,2013-05-14 21:00:00,13.2,85.4,74.1,13.7,85.5,74.1,14.2,85.7,74.1,15.8,86.7,74.1
2013130N04093,2013-05-14 00:00:00,2013-05-13 00:00:00,2013-05-15 00:00:00,13.6,85.5,74.1,14.1,85.7,74.1,14.6,86.1,74.1,16.3,87.1,74.1
2013130N04093,2013-05-14 03:00:00,2013-05-13 03:00:00,2013-05-15 03:00:00,13.7,85.5,74.1,14.2,85.7,74.1,14.8,86.2,74.1,16.7,87.2,74.1
2013130N04093,2013-05-14 06:00:00,2013-05-13 06:00:00,2013-05-15 06:00:00,14.1,85.7,74.1,14.6,86.1,74.1,15.3,86.6,74.1,17.3,87.6,83.3
2013130N04093,2013-05-14 09:00:00,2013-05-13 09:00:00,2013-05-15 09:00:00,14.2,85.7,74.1,14.8,86.2,74.1,15.8,86.7,74.1,17.7,87.7,83.3
2013130N04093,2013-05-14 12:00:00,2013-05-13 12:00:00,2013-05-15 12:00:00,14.6,86.1,74.1,15.3,86.6,74.1,16.3,87.1,74.1,18.3,88.2,83.3
2013130N04093,2013-05-14 15:00:00,2013-05-13 15:00:00,2013-05-15 15:00:00,14.8,86.2,74.1,15.8,86.7,74.1,16.7,87.2,74.1,18.8,88.6,83.3
2013130N04093,2013-05-14 18:00:00,2013-05-13 18:00:00,2013-05-15 18:00:00,15.3,86.6,74.1,16.3,87.1,74.1,17.3,87.6,83.3,19.3,88.8,83.3
2013130N04093,2013-05-14 21:00:00,2013-05-13 21:00:00,2013-05-15 21:00:00,15.8,86.7,74.1,16.7,87.2,74.1,17.7,87.7,83.3,19.8,89.2,83.3
2013130N04093,2013-05-15 00:00:00,2013-05-14 00:00:00,2013-05-16 00:00:00,16.3,87.1,74.1,17.3,87.6,83.3,18.3,88.2,83.3,20.4,89.7,83.3
2013130N04093,2013-05-15 03:00:00,2013-05-14 03:00:00,2013-05-16 03:00:00,16.7,87.2,74.1,17.7,87.7,83.3,18.8,88.6,83.3,21.2,90.2,83.3
2013130N04093,2013-05-15 06:00:00,2013-05-14 06:00:00,2013-05-16 06:00:00,17.3,87.6,83.3,18.3,88.2,83.3,19.3,88.8,83.3,22.5,91.0,83.3
2013130N04093,2013-05-15 09:00:00,2013-05-14 09:00:00,2013-05-16 09:00:00,17.7,87.7,83.3,18.8,88.6,83.3,19.8,89.2,83.3,23.4,91.9,74.1
2013130N04093,2013-05-15 12:00:00,2013-05-14 12:00:00,2013-05-16 12:00:00,18.3,88.2,83.3,19.3,88.8,83.3,20.4,89.7,83.3,24.1,92.5,55.6
2013130N04093,2013-05-15 15:00:00,2013-05-14 15:00:00,2013-05-16 15:00:00,18.8,88.6,83.3,19.8,89.2,83.3,21.2,90.2,83.3,24.5,93.0,51.9
2013130N04093,2013-05-15 18:00:00,2013-05-14 18:00:00,2013-05-16 18:00:00,19.3,88.8,83.3,20.4,89.7,83.3,22.5,91.0,83.3,25.0,93.5,46.3
2013281N12098,2013-10-08 12:00:00,2013-10-07 12:00:00,2013-10-09 12:00:00,12.4,94.5,46.3,12.7,94.0,46.3,13.1,93.5,55.6,13.6,92.4,64.8
2013281N12098,2013-10-08 15:00:00,2013-10-07 15:00:00,2013-10-09 15:00:00,12.5,94.2,46.3,12.9,93.7,51.9,13.2,93.3,55.6,13.7,92.3,64.8
2013281N12098,2013-10-08 18:00:00,2013-10-07 18:00:00,2013-10-09 18:00:00,12.7,94.0,46.3,13.1,93.5,55.6,13.2,92.9,55.6,14.0,91.9,74.1
2013281N12098,2013-10-08 21:00:00,2013-10-07 21:00:00,2013-10-09 21:00:00,12.9,93.7,51.9,13.2,93.3,55.6,13.5,92.5,55.6,14.1,91.8,83.3
2013281N12098,2013-10-09 00:00:00,2013-10-08 00:00:00,2013-10-10 00:00:00,13.1,93.5,55.6,13.2,92.9,55.6,13.6,92.4,64.8,14.5,91.4,83.3
2013281N12098,2013-10-09 03:00:00,2013-10-08 03:00:00,2013-10-10 03:00:00,13.2,93.3,55.6,13.5,92.5,55.6,13.7,92.3,64.8,14.6,91.0,101.9
2013281N12098,2013-10-09 06:00:00,2013-10-08 06:00:00,2013-10-10 06:00:00,13.2,92.9,55.6,13.6,92.4,64.8,14.0,91.9,74.1,15.0,90.7,120.4
2013281N12098,2013-10-09 09:00:00,2013-10-08 09:00:00,2013-10-10 09:00:00,13.5,92.5,55.6,13.7,92.3,64.8,14.1,91.8,83.3,15.1,90.5,129.6
2013281N12098,2013-10-09 12:00:00,2013-10-08 12:00:00,2013-10-10 12:00:00,13.6,92.4,64.8,14.0,91.9,74.1,14.5,91.4,83.3,15.4,90.1,138.9
2013281N12098,2013-10-09 15:00:00,2013-10-08 15:00:00,2013-10-10 15:00:00,13.7,92.3,64.8,14.1,91.8,83.3,14.6,91.0,101.9,15.5,89.9,166.7
2013281N12098,2013-10-09 18:00:00,2013-10-08 18:00:00,2013-10-10 18:00:00,14.0,91.9,74.1,14.5,91.4,83.3,15.0,90.7,120.4,15.6,89.5,175.9
2013281N12098,2013-10-09 21:00:00,2013-10-08 21:00:00,2013-10-10 21:00:00,14.1,91.8,83.3,14.6,91.0,101.9,15.1,90.5,129.6,15.6,89.0,185.2
2013281N12098,2013-10-10 00:00:00,2013-10-09 00:00:00,2013-10-11 00:00:00,14.5,91.4,83.3,15.0,90.7,120.4,15.4,90.1,138.9,15.9,88.6,203.7
2013281N12098,2013-10-10 03:00:00,2013-10-09 03:00:00,2013-10-11 03:00:00,14.6,91.0,101.9,15.1,90.5,129.6,15.5,89.9,166.7,15.9,88.5,213.0
2013281N12098,2013-10-10 06:00:00,2013-10-09 06:00:00,2013-10-11 06:00:00,15.0,90.7,120.4,15.4,90.1,138.9,15.6,89.5,175.9,16.2,88.3,213.0
2013281N12098,2013-10-10 09:00:00,2013-10-09 09:00:00,2013-10-11 09:00:00,15.1,90.5,129.6,15.5,89.9,166.7,15.6,89.0,185.2,16.5,88.0,213.0
2013281N12098,2013-10-10 12:00:00,2013-10-09 12:00:00,2013-10-11 12:00:00,15.4,90.1,138.9,15.6,89.5,175.9,15.9,88.6,203.7,16.8,87.7,213.0
2013281N12098,2013-10-10 15:00:00,2013-10-09 15:00:00,2013-10-11 15:00:00,15.5,89.9,166.7,15.6,89.0,185.2,15.9,88.5,213.0,16.8,87.3,213.0
2013281N12098,2013-10-10 18:00:00,2013-10-09 18:00:00,2013-10-11 18:00:00,15.6,89.5,175.9,15.9,88.6,203.7,16.2,88.3,213.0,16.9,87.0,213.0
2013281N12098,2013-10-10 21:00:00,2013-10-09 21:00:00,2013-10-11 21:00:00,15.6,89.0,185.2,15.9,88.5,213.0,16.5,88.0,213.0,17.1,86.7,213.0
2013281N12098,2013-10-11 00:00:00,2013-10-10 00:00:00,2013-10-12 00:00:00,15.9,88.6,203.7,16.2,88.3,213.0,16.8,87.7,213.0,17.5,86.5,213.0
2013281N12098,2013-10-11 03:00:00,2013-10-10 03:00:00,2013-10-12 03:00:00,15.9,88.5,213.0,16.5,88.0,213.0,16.8,87.3,213.0,17.7,86.0,213.0
2013281N12098,2013-10-11 06:00:00,2013-10-10 06:00:00,2013-10-12 06:00:00,16.2,88.3,213.0,16.8,87.7,213.0,16.9,87.0,213.0,18.1,85.8,213.0
2013281N12098,2013-10-11 09:00:00,2013-10-10 09:00:00,2013-10-12 09:00:00,16.5,88.0,213.0,16.8,87.3,213.0,17.1,86.7,213.0,18.5,85.4,213.0
2013281N12098,2013-10-11 12:00:00,2013-10-10 12:00:00,2013-10-12 12:00:00,16.8,87.7,213.0,16.9,87.0,213.0,17.5,86.5,213.0,18.7,85.2,213.0
2013281N12098,2013-10-11 15:00:00,2013-10-10 15:00:00,2013-10-12 15:00:00,16.8,87.3,213.0,17.1,86.7,213.0,17.7,86.0,213.0,19.1,85.1,213.0
2013281N12098,2013-10-11 18:00:00,2013-10-10 18:00:00,2013-10-12 18:00:00,16.9,87.0,213.0,17.5,86.5,213.0,18.1,85.8,213.0,19.5,84.9,185.2
2013281N12098,2013-10-11 21:00:00,2013-10-10 21:00:00,2013-10-12 21:00:00,17.1,86.7,213.0,17.7,86.0,213.0,18.5,85.4,213.0,19.9,84.6,166.7
2013281N12098,2013-10-12 00:00:00,2013-10-11 00:00:00,2013-10-13 00:00:00,17.5,86.5,213.0,18.1,85.8,213.0,18.7,85.2,213.0,20.4,84.5,138.9
2013281N12098,2013-10-12 03:00:00,2013-10-11 03:00:00,2013-10-13 03:00:00,17.7,86.0,213.0,18.5,85.4,213.0,19.1,85.1,213.0,20.9,84.1,101.9
2013281N12098,2013-10-12 06:00:00,2013-10-11 06:00:00,2013-10-13 06:00:00,18.1,85.8,213.0,18.7,85.2,213.0,19.5,84.9,185.2,21.5,84.0,74.1
2013281N12098,2013-10-12 09:00:00,2013-10-11 09:00:00,2013-10-13 09:00:00,18.5,85.4,213.0,19.1,85.1,213.0,19.9,84.6,166.7,22.0,83.9,64.8
2013281N12098,2013-10-12 12:00:00,2013-10-11 12:00:00,2013-10-13 12:00:00,18.7,85.2,213.0,19.5,84.9,185.2,20.4,84.5,138.9,22.6,83.9,64.8
2013281N12098,2013-10-12 15:00:00,2013-10-11 15:00:00,2013-10-13 15:00:00,19.1,85.1,213.0,19.9,84.6,166.7,20.9,84.1,101.9,22.8,83.6,61.1
2013281N12098,2013-10-12 18:00:00,2013-10-11 18:00:00,2013-10-13 18:00:00,19.5,84.9,185.2,20.4,84.5,138.9,21.5,84.0,74.1,23.0,83.5,55.6
2013281N12098,2013-10-12 21:00:00,2013-10-11 21:00:00,2013-10-13 21:00:00,19.9,84.6,166.7,20.9,84.1,101.9,22.0,83.9,64.8,23.2,83.7,55.6
2013281N12098,2013-10-13 00:00:00,2013-10-12 00:00:00,2013-10-14 00:00:00,20.4,84.5,138.9,21.5,84.0,74.1,22.6,83.9,64.8,23.5,84.0,55.6
2013281N12098,2013-10-13 03:00:00,2013-10-12 03:00:00,2013-10-14 03:00:00,20.9,84.1,101.9,22.0,83.9,64.8,22.8,83.6,61.1,23.9,84.2,51.9
2013281N12098,2013-10-13 06:00:00,2013-10-12 06:00:00,2013-10-14 06:00:00,21.5,84.0,74.1,22.6,83.9,64.8,23.0,83.5,55.6,24.5,84.2,46.3
2013305N07141,2013-11-02 06:00:00,2013-11-01 06:00:00,2013-11-03 06:00:00,7.1,135.9,46.3,7.3,135.1,46.3,7.5,134.2,46.3,8.6,131.1,46.3
2013305N07141,2013-11-02 09:00:00,2013-11-01 09:00:00,2013-11-03 09:00:00,7.2,135.5,46.3,7.4,134.7,46.3,7.8,133.7,46.3,8.7,130.2,46.3
2013305N07141,2013-11-02 12:00:00,2013-11-01 12:00:00,2013-11-03 12:00:00,7.3,135.1,46.3,7.5,134.2,46.3,8.2,133.0,46.3,8.9,129.4,46.3
2013305N07141,2013-11-02 15:00:00,2013-11-01 15:00:00,2013-11-03 15:00:00,7.4,134.7,46.3,7.8,133.7,46.3,8.4,132.0,46.3,9.0,128.5,46.3
2013305N07141,2013-11-02 18:00:00,2013-11-01 18:00:00,2013-11-03 18:00:00,7.5,134.2,46.3,8.2,133.0,46.3,8.6,131.1,46.3,9.2,127.7,46.3
2013305N07141,2013-11-02 21:00:00,2013-11-01 21:00:00,2013-11-03 21:00:00,7.8,133.7,46.3,8.4,132.0,46.3,8.7,130.2,46.3,9.3,127.0,46.3
2013305N07141,2013-11-03 00:00:00,2013-11-02 00:00:00,2013-11-04 00:00:00,8.2,133.0,46.3,8.6,131.1,46.3,8.9,129.4,46.3,9.4,126.4,46.3
2013305N07141,2013-11-03 03:00:00,2013-11-02 03:00:00,2013-11-04 03:00:00,8.4,132.0,46.3,8.7,130.2,46.3,9.0,128.5,46.3,9.6,125.7,46.3
2013305N07141,2013-11-03 06:00:00,2013-11-02 06:00:00,2013-11-04 06:00:00,8.6,131.1,46.3,8.9,129.4,46.3,9.2,127.7,46.3,9.8,125.0,46.3
2013305N07141,2013-11-03 09:00:00,2013-11-02 09:00:00,2013-11-04 09:00:00,8.7,130.2,46.3,9.0,128.5,46.3,9.3,127.0,46.3,9.8,124.1,46.3
2013305N07141,2013-11-03 12:00:00,2013-11-02 12:00:00,2013-11-04 12:00:00,8.9,129.4,46.3,9.2,127.7,46.3,9.4,126.4,46.3,9.9,123.2,46.3
2013305N07141,2013-11-03 15:00:00,2013-11-02 15:00:00,2013-11-04 15:00:00,9.0,128.5,46.3,9.3,127.0,46.3,9.6,125.7,46.3,10.1,122.3,46.3
2013305N07141,2013-11-03 18:00:00,2013-11-02 18:00:00,2013-11-04 18:00:00,9.2,127.7,46.3,9.4,126.4,46.3,9.8,125.0,46.3,10.4,121.5,46.3
2013305N07141,2013-11-03 21:00:00,2013-11-02 21:00:00,2013-11-04 21:00:00,9.3,127.0,46.3,9.6,125.7,46.3,9.8,124.1,46.3,10.6,120.5,46.3
